Date,Site Name,Arrive,Depart,Qty,Bus/PV,Group Name
06/19/2026 Fri,Historic Kirtland,10:00 AM,11:45 AM,25,Cars,715 Millet Family A (25)
06/19/2026 Fri,Kirtland Temple,12:00 PM,1:00 PM,25,Cars,715 Millet Family A (25)
06/19/2026 Fri,Smith Home,1:00 PM,2:00 PM,25,Cars,715 Millet Family A (25)
06/19/2026 Fri,Historic Kirtland,10:00 AM,11:45 AM,25,Cars,715 Millet Family B (25)
06/19/2026 Fri,Kirtland Temple,12:00 PM,1:00 PM,25,Cars,715 Millet Family B (25)
06/19/2026 Fri,Smith Home,1:00 PM,2:00 PM,25,Cars,715 Millet Family B (25)
06/19/2026 Fri,Kirtland Temple,10:00 AM,11:00 AM,25,Cars,715 Millet Family C (25)
06/19/2026 Fri,Smith Home,11:00 AM,12:00 PM,25,Cars,715 Millet Family C (25)
06/19/2026 Fri,Historic Kirtland,12:00 PM,1:45 PM,25,Cars,715 Millet Family C (25)
06/19/2026 Fri,Kirtland Temple,10:00 AM,11:00 AM,25,Cars,715 Millet Family D (25)
06/19/2026 Fri,Smith Home,11:00 AM,12:00 PM,25,Cars,715 Millet Family D (25)
06/19/2026 Fri,Historic Kirtland,12:00 PM,1:45 PM,25,Cars,715 Millet Family D (25)
06/19/2026 Fri,Johnson Home,10:00 AM,11:00 AM,25,Cars,715 Millet Family E (25)
06/19/2026 Fri,Johnson Home,10:00 AM,11:00 AM,25,Cars,715 Millet Family F (25)
06/19/2026 Fri,Johnson Home,11:00 AM,12:00 PM,25,Cars,715 Millet Family G (25)
06/19/2026 Fri,Johnson Home,11:00 AM,12:00 PM,25,Cars,715 Millet Family H (25)
06/19/2026 Fri,Johnson Home,12:00 PM,1:00 PM,25,,715 Millet Family I (25)
06/20/2026 Sat,Johnson Home,10:30 AM,11:30 AM,25,Cars,715 Millet Family A (25)
06/20/2026 Sat,Johnson Home,10:30 AM,11:30 AM,25,Cars,715 Millet Family B (25)
06/20/2026 Sat,Johnson Home,12:00 PM,1:00 PM,25,Cars,715 Millet Family C (25)
06/20/2026 Sat,Johnson Home,12:00 PM,1:00 PM,25,Cars,715 Millet Family C (25)
06/20/2026 Sat,Historic Kirtland,10:30 AM,12:15 PM,25,Cars,715 Millet Family E (25)
06/20/2026 Sat,Kirtland Temple,12:30 PM,1:30 PM,25,Cars,715 Millet Family E (25)
06/20/2026 Sat,Smith Home,1:30 PM,2:30 PM,25,Cars,715 Millet Family E (25)
06/20/2026 Sat,Historic Kirtland,10:30 AM,12:15 PM,25,Cars,715 Millet Family F (25)
06/20/2026 Sat,Kirtland Temple,12:30 PM,1:30 PM,25,Cars,715 Millet Family F (25)
06/20/2026 Sat,Smith Home,1:30 PM,2:30 PM,25,Cars,715 Millet Family F (25)
06/20/2026 Sat,Historic Kirtland,12:30 PM,2:15 PM,25,Cars,715 Millet Family G (25)
06/20/2026 Sat,Kirtland Temple,2:30 PM,3:30 PM,25,Cars,715 Millet Family G (25)
06/20/2026 Sat,Smith Home,3:30 PM,4:30 PM,25,Cars,715 Millet Family G (25)
06/20/2026 Sat,Historic Kirtland,12:30 PM,2:15 PM,25,Cars,715 Millet Family H (25)
06/20/2026 Sat,Kirtland Temple,2:30 PM,3:30 PM,25,Cars,715 Millet Family H (25)
06/20/2026 Sat,Smith Home,3:30 PM,4:30 PM,25,Cars,715 Millet Family H (25)
06/20/2026 Sat,Kirtland Temple,10:30 AM,11:30 AM,25,Cars,715 Millet Family I (25)
06/20/2026 Sat,Smith Home,11:30 AM,12:30 PM,25,Cars,715 Millet Family I (25)
06/20/2026 Sat,Historic Kirtland,2:15 PM,4:00 PM,25,Cars,715 Millet Family I (25)
